Step,Row_px,Col_px,Elevation_m,Slope_TMC_deg (A*_safety),Slope_LOLA_deg (reference)
516,976,700,-459.45,41.82,38.62
517,976,698,-457.83,35.73,39.73
518,976,696,-453.41,37.24,35.85
519,976,694,-456.83,58.03,30.42
520,976,692,-458.21,57.18,28.44
521,976,690,-456.09,54.10,31.48
522,976,688,-455.68,42.68,34.46
523,976,686,-455.68,12.77,35.72
524,976,684,-454.65,14.35,36.05
525,976,682,-452.84,24.35,35.58
526,976,680,-453.93,34.41,34.24
527,976,678,-455.67,29.11,30.99
528,976,676,-455.90,13.12,28.62
529,976,674,-453.26,19.79,30.12
530,976,672,-451.08,13.26,32.84
531,976,670,-449.07,16.99,33.86
532,976,668,-448.19,32.74,32.25
533,976,666,-448.44,48.94,29.67
534,976,664,-447.57,47.30,28.59
535,976,662,-446.00,9.06,29.35
536,976,660,-444.90,29.57,30.03
537,976,658,-443.08,11.20,29.39
538,976,656,-444.90,26.88,28.94
539,976,654,-446.71,26.41,28.99
540,976,652,-445.75,28.10,28.84
541,976,650,-445.26,34.46,30.02
542,976,648,-444.59,51.76,32.26
543,976,646,-443.68,62.89,32.60
544,976,644,-443.96,58.75,31.71
545,976,642,-444.98,14.29,32.08
546,976,640,-445.28,38.11,33.60
547,976,638,-445.83,24.39,35.38
548,978,636,-439.70,29.65,35.47
549,980,634,-436.56,32.06,30.09
550,980,632,-439.10,45.45,28.97
551,982,630,-435.45,56.44,33.25
552,984,628,-431.19,39.76,35.02
553,984,626,-431.61,33.69,33.74
554,984,624,-431.76,43.95,29.61
555,984,622,-428.95,39.52,25.01
556,984,620,-431.47,28.43,23.72
557,984,618,-431.68,16.89,24.46
558,986,616,-430.85,24.93,24.26
559,988,614,-426.21,18.41,28.79
560,990,612,-422.47,22.17,31.38
561,992,610,-418.65,26.31,29.36
562,994,608,-412.74,21.25,27.27
563,996,606,-412.67,21.19,31.23
564,998,604,-408.31,39.48,34.77
565,1000,602,-403.03,29.95,30.37
566,1000,600,-403.81,16.41,30.75
567,1002,598,-399.49,16.47,31.57
568,1004,596,-395.45,24.45,33.67
569,1004,594,-394.21,22.24,34.37
570,1006,592,-390.76,32.33,32.85
571,1008,590,-387.24,27.24,32.24
572,1010,588,-382.06,17.66,33.18
573,1010,586,-379.09,14.55,35.19
574,1010,584,-379.49,28.21,34.29
575,1010,582,-381.08,35.19,32.78
576,1012,580,-376.91,28.18,30.40
577,1012,578,-375.33,57.39,30.05
578,1014,576,-372.29,36.83,29.07
579,1016,574,-368.54,7.04,30.84
580,1018,572,-363.14,26.17,28.74
581,1020,570,-358.71,20.38,27.27
582,1022,568,-354.06,32.32,27.33
583,1024,566,-354.23,53.32,31.17
584,1026,564,-348.25,59.06,35.64
585,1028,562,-346.16,53.70,32.46
586,1028,560,-341.41,31.23,33.25
587,1028,558,-341.86,21.83,31.54
588,1030,556,-339.72,30.10,25.98
589,1030,554,-337.50,11.86,26.26
590,1030,552,-335.98,39.64,27.53
591,1030,550,-335.01,9.97,28.17
592,1030,548,-335.38,44.66,27.27
593,1030,546,-333.54,45.34,28.31
594,1030,544,-331.17,4.27,31.67
595,1030,542,-329.27,10.09,32.75
596,1030,540,-325.74,23.55,30.36
597,1030,538,-325.87,40.80,28.20
598,1028,536,-328.15,43.07,29.11
599,1026,534,-328.52,44.00,30.36
600,1024,532,-329.86,57.66,31.70
601,1022,530,-332.56,46.61,34.88
602,1022,528,-332.97,9.39,35.68
603,1022,526,-333.40,23.87,35.73
